2022-08-09 17:49:58.865625: I tensorflow/core/util/util.cc:169] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2022-08-09 17:50:00.297743: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F AVX512_VNNI FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-08-09 17:50:00.664631: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1532] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 22126 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:65:00.0, compute capability: 8.6
2022-08-09 17:50:01.907641: I tensorflow/stream_executor/cuda/cuda_dnn.cc:384] Loaded cuDNN version 8400
2022-08-09 17:50:02.943833: I tensorflow/stream_executor/cuda/cuda_blas.cc:1786] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.
WARNING:tensorflow:Epoch: 0, Train_Loss: 258502.390625, train_mIoU: 1.080, proceeding to images: 14940
W0809 17:50:49.897283 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 258502.390625, train_mIoU: 1.080, proceeding to images: 14940
WARNING:tensorflow:Epoch: 0, Train_Loss: 112201.414062, train_mIoU: 2.057, proceeding to images: 29940
W0809 17:51:36.212780 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 112201.414062, train_mIoU: 2.057, proceeding to images: 29940
WARNING:tensorflow:Epoch: 0, Train_Loss: 45831.722656, train_mIoU: 2.607, proceeding to images: 44940
W0809 17:52:22.674497 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 45831.722656, train_mIoU: 2.607, proceeding to images: 44940
WARNING:tensorflow:Epoch: 0, Train_Loss: 44940.828125, train_mIoU: 2.181, proceeding to images: 59940
W0809 17:53:08.438157 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 44940.828125, train_mIoU: 2.181, proceeding to images: 59940
WARNING:tensorflow:Epoch: 0, Train_Loss: 42915.085938, train_mIoU: 2.004, proceeding to images: 74940
W0809 17:53:54.574063 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 42915.085938, train_mIoU: 2.004, proceeding to images: 74940
WARNING:tensorflow:Epoch: 0, Train_Loss: 43674.554688, train_mIoU: 6.075, proceeding to images: 89940
W0809 17:54:40.750449 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 43674.554688, train_mIoU: 6.075, proceeding to images: 89940
WARNING:tensorflow:Epoch: 0, Train_Loss: 39298.644531, train_mIoU: 13.484, proceeding to images: 104940
W0809 17:55:26.511832 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 39298.644531, train_mIoU: 13.484, proceeding to images: 104940
WARNING:tensorflow:Epoch: 0, Train_Loss: 35896.769531, train_mIoU: 23.224, proceeding to images: 119940
W0809 17:56:12.987616 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 35896.769531, train_mIoU: 23.224, proceeding to images: 119940
WARNING:tensorflow:Epoch: 0, Train_Loss: 30527.263672, train_mIoU: 38.132, proceeding to images: 134940
W0809 17:56:58.567836 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 30527.263672, train_mIoU: 38.132, proceeding to images: 134940
WARNING:tensorflow:Epoch: 0, Train_Loss: 28373.400391, train_mIoU: 46.485, proceeding to images: 149940
W0809 17:57:44.983051 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 28373.400391, train_mIoU: 46.485, proceeding to images: 149940
WARNING:tensorflow:Epoch: 0, Train_Loss: 26474.400391, train_mIoU: 53.314, proceeding to images: 164940
W0809 17:58:30.730767 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 26474.400391, train_mIoU: 53.314, proceeding to images: 164940
WARNING:tensorflow:Epoch: 0, Train_Loss: 24527.603516, train_mIoU: 55.718, proceeding to images: 179940
W0809 17:59:16.538210 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 24527.603516, train_mIoU: 55.718, proceeding to images: 179940
WARNING:tensorflow:Epoch: 0, Train_Loss: 24195.121094, train_mIoU: 60.433, proceeding to images: 194940
W0809 18:00:02.408975 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 24195.121094, train_mIoU: 60.433, proceeding to images: 194940
WARNING:tensorflow:Epoch: 0, Train_Loss: 23339.937500, train_mIoU: 63.452, proceeding to images: 209940
W0809 18:00:47.382881 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 23339.937500, train_mIoU: 63.452, proceeding to images: 209940
WARNING:tensorflow:Epoch: 0, Train_Loss: 22763.689453, train_mIoU: 65.130, proceeding to images: 224940
W0809 18:01:32.106942 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 22763.689453, train_mIoU: 65.130, proceeding to images: 224940
WARNING:tensorflow:Epoch: 0, Train_Loss: 22169.980469, train_mIoU: 68.884, proceeding to images: 239940
W0809 18:02:18.585135 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 22169.980469, train_mIoU: 68.884, proceeding to images: 239940
WARNING:tensorflow:Epoch: 0, Train_Loss: 21217.474609, train_mIoU: 69.517, proceeding to images: 254940
W0809 18:03:04.444747 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 21217.474609, train_mIoU: 69.517, proceeding to images: 254940
WARNING:tensorflow:Epoch: 0, Train_Loss: 21292.462891, train_mIoU: 70.472, proceeding to images: 269940
W0809 18:03:51.217339 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 21292.462891, train_mIoU: 70.472, proceeding to images: 269940
WARNING:tensorflow:Epoch: 0, Train_Loss: 20480.925781, train_mIoU: 71.488, proceeding to images: 284940
W0809 18:04:38.033111 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 20480.925781, train_mIoU: 71.488, proceeding to images: 284940
WARNING:tensorflow:Epoch: 0, Train_Loss: 20374.611328, train_mIoU: 72.173, proceeding to images: 299940
W0809 18:05:25.734911 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 20374.611328, train_mIoU: 72.173, proceeding to images: 299940
WARNING:tensorflow:Epoch: 0, Train_Loss: 19885.240234, train_mIoU: 73.688, proceeding to images: 314940
W0809 18:06:12.419217 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 19885.240234, train_mIoU: 73.688, proceeding to images: 314940
WARNING:tensorflow:Epoch: 0, Train_Loss: 19899.400391, train_mIoU: 73.627, proceeding to images: 329940
W0809 18:06:59.298269 140088817689728 train_vae_2.py:217] Epoch: 0, Train_Loss: 19899.400391, train_mIoU: 73.627, proceeding to images: 329940
WARNING:tensorflow:Epoch: 0, Train_Loss: 19691.845703, train_mIoU: 74.294, proceeding to images: 344940
